CLASSE,TEXTE_AUTRE
Application Mobile/Ch.net,client satisfait
Service en agence,minimiser les prélèvements
Problèmes Gab,client satisfait
Service en agence,manque de compétence pour le personnel de l'agence
Application Mobile/Ch.net,et les codes de confirmation
Application Mobile/Ch.net,retard comptabilisation
Service en agence,suggestion: ajout d'une agence en permanence le weekend toute la journée+ exonération des frais de pack
Frais élevés des produits et services,les pannes de système en agence
Service en agence,personnel de l'agence
Attente en agence,informer le client avant l'augmentation  par rapport au plafond des cartes ou de toutes nouveaux  services
Application Mobile/Ch.net,dotation touristique
Frais élevés des produits et services,client satisfait
Problèmes Gab,la disponibilité des gab à sefrou
Attente en agence,les transactions par carte
Service en agence,horaires des agences
Problèmes Gab,système au niveau de l'agence et la disponibilité au niveau des guichets et les prélèvements
Attente en agence,manque des agents
Service en agence,le délai de traitement des réclamations
Attente en agence,manque de personnel au niveau de l'agence
Attente en agence,manque de personnel
Frais élevés des produits et services,retard de virement
Application Mobile/Ch.net,retard de comptabilisation
Service en agence,souci de ligne au niveau d agence
Frais élevés des produits et services,augmenter le plafond de retrait sur la carte bancaire monétique
Frais élevés des produits et services,retrait au niveau d'agence
Service en agence,mauvaise comportement avec les clients
Application Mobile/Ch.net,l'agence ne répond pas aux appels téléphoniques
Service en agence,accueil en agence nul / agence ne répond pas aux appels téléphoniques/ recrutement des jeunes au niveau des agences
Service en agence,mauvaise comportement avec les clients
Application Mobile/Ch.net,synchronisation / facilité pour les personnes agées
Frais élevés des produits et services,souplesse de la mutation de compte
Problèmes Gab,rendre les virements instantanés
Service en agence,comportement personnel
Service en agence,pouvoir bénéficier du relevé bancaire cacheté au niveau de toutes les agences banque populaire
Service en agence,panne du système
Service en agence,souci connexion dans l'agence
Frais élevés des produits et services,souci sur système au niveau d'agence
Service en agence,le manque du personnel au niveau de l'agence
Service en agence,les personnels des agences et le réseaux au niveau d'agence
Application Mobile/Ch.net,virement instantanne
Problèmes Gab,les cartes
Application Mobile/Ch.net,le service a distance
Frais élevés des produits et services,les prélèvements
"Améliorer l'offre crédit(taux,process,time)",crédit immobilier
Frais élevés des produits et services,les prélèvements  des packs
Service en agence,mutation de compte
Problèmes Gab,"les prélèvements , délivrance carte de guichet"
"Améliorer l'offre crédit(taux,process,time)",manque de nombre de personnels
Application Mobile/Ch.net,les cartes monetiques
"Améliorer l'offre crédit(taux,process,time)",confiance client
Service en agence,retard de comptabilisation
Application Mobile/Ch.net,les comissions des factures
Problèmes Gab,les soucis du systme (lundi)
"Améliorer l'offre crédit(taux,process,time)",un dossier de rachat du dossier  crédit
Service en agence,service partout au maroc / toutes les agences au service de tout les clients / récuperation de carte changement de numéro de gsm ect
Application Mobile/Ch.net,service l'attestation de rib depuis l'application
Problèmes Gab,souci gab
Service en agence,les cartes monétiques 
Service en agence,demande de mutation de compte non prise en charge de la part de son agence
Service en agence,les documents pour lc
Application Mobile/Ch.net,la non réception les alertes sms
"Améliorer l'offre crédit(taux,process,time)",les documents
Service en agence,traitement des demandes dans n'importe d'agence
Application Mobile/Ch.net,chaabi mobile
Problèmes Gab,paiement des factures via gab
"Améliorer l'offre crédit(taux,process,time)",pour  le secteur agricole
Service en agence,les personnels des agence
Frais élevés des produits et services,des offres  packs pour les étudiants
Application Mobile/Ch.net,la comptabilisation des opérations
Application Mobile/Ch.net,les virements instantanés
Service en agence,augmentation de plafond de retrait des cartes monétiques et garder les mêmes frais
Problèmes Gab,disponibilité des gabs
Service en agence,augmentation de plafond des cartes monétiques
Service en agence,les demandes des attestation  dans n'importe agence
Application Mobile/Ch.net,retard de la comptabilisation des opérations
Service en agence,comportement des personnels
Service en agence,systeme au niveau d'agence
Service en agence,le comportement de personnel au niveau de l'agence
Service en agence,versement déplacé
"Améliorer l'offre crédit(taux,process,time)",demande de carnet de cheque
Service en agence,cliente  insatisfaite
Problèmes Gab,versement depuis le gab
Attente en agence,la disponibilité des agences dans les petites ville
Problèmes Gab,versement au niveau de gab et un plafond ouvert par rapport les cartes monétiques
Application Mobile/Ch.net,retard des alertes sms
Service en agence,l'agence est toujours injoignable  
Service en agence,le service monétique
Service en agence,souci connexion  d'agence
"Améliorer l'offre crédit(taux,process,time)",des offres crédit  pour les jeunes
Service en agence,l'effectif de personnel au niveau de l'agence durant la pause déjeuner
Attente en agence,un. services prive pour les  versement important  depuis l'agence
Frais élevés des produits et services,des prélèvements injustifié
Service en agence,la réponse des agence par téléphone
Application Mobile/Ch.net,un services a distance 24/24
Frais élevés des produits et services,manque d'effectif d'agence
Frais élevés des produits et services,réduire les frais pour les retraités
Service en agence,monnaie fiduciaire
Service en agence,les demandes des documents
Service en agence,retrait déplace
"Améliorer l'offre crédit(taux,process,time)",service d'avance
Application Mobile/Ch.net,simulation crédit au niveau pocket bank
"Améliorer l'offre crédit(taux,process,time)",les crédits pour tpe
Problèmes Gab,la comptabilisation des virements
Service en agence,la rapidité de service et l'agence est toujours injoignable
"Améliorer l'offre crédit(taux,process,time)",résiliation des crédits
Application Mobile/Ch.net,services paiement
Application Mobile/Ch.net,les frais des services depuis pocket bank
Service en agence,l'espace des agences
Application Mobile/Ch.net,comptabilisation des operations
Application Mobile/Ch.net,le délai de comptabilisation des opérations
Frais élevés des produits et services,frais sur l'encaissement
"Améliorer l'offre crédit(taux,process,time)",infos crédit
Problèmes Gab,plafond de retrait pour carte prima
Application Mobile/Ch.net,blocage sur le compte et la comptabilisation des opérations
Frais élevés des produits et services,plafond de retrait pour la carte prima
Attente en agence,manque personnels
Service en agence,comportement personnels
Frais élevés des produits et services,les prélèvements
Frais élevés des produits et services,crédits
Problèmes Gab,disponibilités des gab
Service en agence,comportement personnels
Application Mobile/Ch.net,le comportement de personnel au niveau de l'agence
Application Mobile/Ch.net,maj
Service en agence,non pris en charge des demandes
Service en agence,systeme down
Application Mobile/Ch.net,retard de comptabilisation et d'affichage
Application Mobile/Ch.net,la réception des alertes sms tardivement 
"Améliorer l'offre crédit(taux,process,time)",faire des formations souvent aux personnels /
Problèmes Gab,gab pas très bien alimenté au niveau de certaines agences 
Service en agence,l'agence a refusé de clôturer le deuxième compte de client qui n'a pas utilisé depuis des années
Service en agence,un mauvais comportement de la part de personnel
Application Mobile/Ch.net,retard de comptabilisation
Frais élevés des produits et services,le service monétique 
"Améliorer l'offre crédit(taux,process,time)",le taux de credit immo
Attente en agence,la file d'attente à l'agence
Application Mobile/Ch.net,délai de virement confrère
Service en agence,la comptabilisation
Service en agence,retard de mutation de compte 
Service en agence,comportement agence
Service en agence,la rapidité dans les virements au niveau de l'agence
Application Mobile/Ch.net,retard de la comptabilisation
Service en agence,informer les clients si le plafond de retrait va être changer
Service en agence,changement des agents
Application Mobile/Ch.net,la rapidité au niveau l'affichage sur application pocket bank et chaabi net
Problèmes Gab,raterait moins de 100 dh
Application Mobile/Ch.net,comptabilisation à jour
Service en agence,qualité d'acceuille
Service en agence,system down toujours sur l'agence
Attente en agence,gestion de la file les clients attendent à l'extérieur de l'agence
Service en agence,la mauvaise orientation de l'agence et le refus de traiter ses demandes
Application Mobile/Ch.net,augmentation du plafond des cartes
Service en agence,retard de comptabilisation
"Améliorer l'offre crédit(taux,process,time)",augmentation de tranche d'âge pour le crédit plus 70 ans
Service en agence,problème de rupture de système
Application Mobile/Ch.net,les documents via applications
Service en agence,pour l'agence de bourgoun a casablanca
Service en agence,l'agence après 14h dit qu'il n'y a pas de réseau
Service en agence,relevés bancaires 
Problèmes Gab,13h et 15h un souci de gab
"Améliorer l'offre crédit(taux,process,time)",plafonds des cartes
Service en agence,les prélèvements
Attente en agence,faire des boites de suggestion pour les avis des clients
Application Mobile/Ch.net,l'affichage des transactions à chaud
Application Mobile/Ch.net,le système informatique  en agence doit être efficace est bien
Application Mobile/Ch.net,le client souhaite activer la dotation touristique juste au niveau de l'app et aussi réclame pour l'affichage des opération tardive
Service en agence,"accueil,"
Service en agence,demande des directeurs d'agence compétant
Application Mobile/Ch.net,une seule carte fonctionne au niveau national et international
Problèmes Gab,manque de reçu sur les gab
Application Mobile/Ch.net,des instabilités au niveau de solde et les opérations a l'app pocket bank
Application Mobile/Ch.net,site  de bp entreprise
Application Mobile/Ch.net,le retard de compabilisation des opérations
Application Mobile/Ch.net,la mise a jour au niveau de l'application
Service en agence,le retard au niveau de traitement des demandes 
Service en agence,réseau au niveau des agences
Service en agence,annulation de l'assurance injad
Service en agence,propose de mettre une machine pour prendre le ticket pour mieux organiser
Service en agence,la souscription des produits sans autorisation du client
Attente en agence,augmentation des agents sur les agences
Problèmes Gab,problème de réseau au niveau de gab 
Attente en agence,système en panne  +manque de personnel
Application Mobile/Ch.net,ajouter des autres marchands
Frais élevés des produits et services,souhaite améliorer des produits pour les mineurs
Application Mobile/Ch.net,retard de la comptabilisation des virement
Service en agence,"le délai de traitement des demandes , la remise de chèques , la digitalisation du système "
Application Mobile/Ch.net,mutation de compte au niveau de l'application
Application Mobile/Ch.net,le retard des emails après la comptabilisation
